"","state","census_2010_pop","estimates_base_2010","census_2020_pop","estimates_base_2020","pop_estimate_2010","pop_estimate_2011","pop_estimate_2012","pop_estimate_2013","pop_estimate_2014","pop_estimate_2015","pop_estimate_2016","pop_estimate_2017","pop_estimate_2018","pop_estimate_2019","pop_estimate_2020","pop_estimate_2021","pop_estimate_2022","pop_estimate_2023","n_pop_chg_2010","n_pop_chg_2011","n_pop_chg_2012","n_pop_chg_2013","n_pop_chg_2014","n_pop_chg_2015","n_pop_chg_2016","n_pop_chg_2017","n_pop_chg_2018","n_pop_chg_2019","n_pop_chg_2020","n_pop_chg_2021","n_pop_chg_2022","n_pop_chg_2023","births_2010","births_2011","births_2012","births_2013","births_2014","births_2015","births_2016","births_2017","births_2018","births_2019","births_2020","births_2021","births_2022","births_2023","deaths_2010","deaths_2011","deaths_2012","deaths_2013","deaths_2014","deaths_2015","deaths_2016","deaths_2017","deaths_2018","deaths_2019","deaths_2020","deaths_2021","deaths_2022","deaths_2023","natural_chg_2010","natural_chg_2011","natural_chg_2012","natural_chg_2013","natural_chg_2014","natural_chg_2015","natural_chg_2016","natural_chg_2017","natural_chg_2018","natural_chg_2019","natural_chg_2020","natural_chg_2021","natural_chg_2022","natural_chg_2023","international_mig_2010","international_mig_2011","international_mig_2012","international_mig_2013","international_mig_2014","international_mig_2015","international_mig_2016","international_mig_2017","international_mig_2018","international_mig_2019","international_mig_2020","international_mig_2021","international_mig_2022","international_mig_2023","domestic_mig_2010","domestic_mig_2011","domestic_mig_2012","domestic_mig_2013","domestic_mig_2014","domestic_mig_2015","domestic_mig_2016","domestic_mig_2017","domestic_mig_2018","domestic_mig_2019","domestic_mig_2020","domestic_mig_2021","domestic_mig_2022","domestic_mig_2023","net_mig_2010","net_mig_2011","net_mig_2012","net_mig_2013","net_mig_2014","net_mig_2015","net_mig_2016","net_mig_2017","net_mig_2018","net_mig_2019","net_mig_2020","net_mig_2021","net_mig_2022","net_mig_2023","residual_2010","residual_2011","residual_2012","residual_2013","residual_2014","residual_2015","residual_2016","residual_2017","residual_2018","residual_2019","residual_2020","residual_2021","residual_2022","residual_2023","gq_estimates_base_2010","gq_estimates_base_2020","gq_estimates_2010","gq_estimates_2011","gq_estimates_2012","gq_estimates_2013","gq_estimates_2014","gq_estimates_2015","gq_estimates_2016","gq_estimates_2017","gq_estimates_2018","gq_estimates_2019","gq_estimates_2020","gq_estimates_2021","gq_estimates_2022","gq_estimates_2023","r_birth_2011","r_birth_2012","r_birth_2013","r_birth_2014","r_birth_2015","r_birth_2016","r_birth_2017","r_birth_2018","r_birth_2019","r_birth_2021","r_birth_2022","r_birth_2023","r_death_2011","r_death_2012","r_death_2013","r_death_2014","r_death_2015","r_death_2016","r_death_2017","r_death_2018","r_death_2019","r_death_2021","r_death_2022","r_death_2023","r_natural_chg_2011","r_natural_chg_2012","r_natural_chg_2013","r_natural_chg_2014","r_natural_chg_2015","r_natural_chg_2016","r_natural_chg_2017","r_natural_chg_2018","r_natural_chg_2019","r_natural_chg_2021","r_natural_chg_2022","r_natural_chg_2023","r_international_mig_2011","r_international_mig_2012","r_international_mig_2013","r_international_mig_2014","r_international_mig_2015","r_international_mig_2016","r_international_mig_2017","r_international_mig_2018","r_international_mig_2019","r_international_mig_2021","r_international_mig_2022","r_international_mig_2023","r_domestic_mig_2011","r_domestic_mig_2012","r_domestic_mig_2013","r_domestic_mig_2014","r_domestic_mig_2015","r_domestic_mig_2016","r_domestic_mig_2017","r_domestic_mig_2018","r_domestic_mig_2019","r_domestic_mig_2021","r_domestic_mig_2022","r_domestic_mig_2023","r_net_mig_2011","r_net_mig_2012","r_net_mig_2013","r_net_mig_2014","r_net_mig_2015","r_net_mig_2016","r_net_mig_2017","r_net_mig_2018","r_net_mig_2019","r_net_mig_2021","r_net_mig_2022","r_net_mig_2023"
"41","Rhode Island",1052567,1052964,1097379,1097371,1053959,1053649,1054621,1055081,1055936,1056065,1056770,1055673,1058287,1059361,1096444,1097092,1093842,1095962,995,-310,972,460,855,129,705,-1097,2614,1074,-927,648,-3250,2120,2878,10998,11005,10871,10731,10875,10901,10663,10691,10481,2546,10030,10386,10006,2329,9754,9319,9631,9697,10079,9831,10044,9939,9802,3389,11332,11078,10434,549,1244,1686,1240,1034,796,1070,619,752,679,-843,-1302,-692,-428,1661,4455,4376,3799,3469,4509,4120,2226,4653,3645,77,1072,2663,5777,-1168,-6018,-5043,-4539,-3539,-5129,-4458,-3912,-2769,-3215,-430,365,-4855,-3224,493,-1563,-667,-740,-70,-620,-338,-1686,1884,430,-353,1437,-2192,2553,-47,9,-47,-40,-109,-47,-27,-30,-22,-35,269,513,-366,-5,43027,45742,43035,41954,41853,41464,42032,41852,41886,41686,41075,40901,45748,44923,44621,44013,10.436475853,10.4398393,10.305720903,10.166663745,10.298290578,10.318837013,10.095420326,10.114666313,9.8987178228,9.1,9.5,9.1,9.2559906776,8.8404236649,9.130199431,9.1870411276,9.5445030566,9.3059798801,9.5093690102,9.4032053587,9.25744033,10.3,10.1,9.5,1.1804851756,1.5994156346,1.1755214718,0.9796226179,0.7537875219,1.0128571327,0.5860513159,0.7114609548,0.6412774928,-1.2,-0.6,-0.4,4.2275413644,4.1512709473,3.601456509,3.2865675644,4.2698843419,3.8999732587,2.1075124867,4.4021646578,3.44249847,1,2.4,5.3,-5.710739378,-4.784017227,-4.302977387,-3.35288631,-4.857005276,-4.219922521,-3.703768575,-2.619727904,-3.036387539,0.3,-4.4,-2.9,-1.483198014,-0.63274628,-0.701520878,-0.066318746,-0.587120934,-0.319949262,-1.596256088,1.7824367538,0.4061109306,1.3,-2,2.3
"42","South Carolina",4625364,4625366,5118425,5118422,4635649,4671994,4717354,4764080,4823617,4891938,4957968,5021268,5084156,5148714,5132151,5193848,5282955,5373555,10283,36345,45360,46726,59537,68321,66030,63300,62888,64558,13729,61697,89107,90600,14171,57488,57527,56570,57287,58277,57755,56943,56793,56353,13492,55815,57508,57581,9658,42033,42073,44662,44538,46872,47256,48815,50428,50744,14065,64911,64636,58852,4513,15455,15454,11908,12749,11405,10499,8128,6365,5609,-573,-9096,-7128,-1271,1167,2670,5837,5054,6234,7289,5165,5757,6067,5724,335,4028,10467,9291,4483,18146,23594,29289,39825,49065,50199,49262,50330,53034,14724,67368,83401,82562,5650,20816,29431,34343,46059,56354,55364,55019,56397,58758,15059,71396,93868,91853,120,74,475,475,729,562,167,153,126,191,-757,-603,2367,18,139195,138600,139287,139168,138161,136469,137204,137157,137398,136609,135065,133728,136629,135870,139073,139093,12.352858828,12.253672992,11.932794132,11.950106475,11.99663838,11.727015466,11.412296492,11.240102345,11.01411432,10.8,11,10.8,9.0319321444,8.9618576285,9.4209378033,9.290656557,9.6488569104,9.5952184721,9.7833140733,9.9803828122,9.9178431857,12.6,12.3,11,3.3209266836,3.2918153635,2.5118563289,2.659449918,2.34778147,2.1317969938,1.6289824191,1.2597195328,1.0962711341,-1.8,-1.4,-0.2,0.5737220476,1.2433238176,1.0660834637,1.3004165651,1.5004804152,1.0487409728,1.1537957415,1.2007413049,1.1187477218,0.8,2,1.7,3.8991611518,5.0256950749,6.1781793767,8.3075216082,10.100297924,10.192787627,9.8729000897,9.9609872876,10.365420454,13,15.9,15.5,4.4728831993,6.2690188925,7.2442628404,9.6079381733,11.600778339,11.241528599,11.026695831,11.161728592,11.484168176,13.8,17.9,17.2
"43","South Dakota",814180,814198,886667,886668,816166,823579,833566,842316,849129,853988,862996,872868,878698,884659,887852,896299,909869,919318,1968,7413,9987,8750,6813,4859,9008,9872,5830,5961,1184,8447,13570,9449,3028,11794,11897,12059,12439,12255,12314,12196,12028,11911,2832,11063,11324,11369,1929,7289,7415,7279,7159,7744,7750,8079,7381,7337,2020,9779,9226,8556,1099,4505,4482,4780,5280,4511,4564,4117,4647,4574,812,1284,2098,2813,169,1237,2105,89,1066,1615,3232,3748,513,418,65,1100,2781,1788,687,1674,3292,3788,385,-1228,1242,2011,665,964,299,6026,8374,4812,856,2911,5397,3877,1451,387,4474,5759,1178,1382,364,7126,11155,6600,13,-3,108,93,82,-39,-30,-4,5,5,8,37,317,36,34050,32154,34047,34005,33988,33975,34016,33967,33965,34013,34019,34018,32122,32077,32214,32218,14.385163547,14.358429709,14.391228022,14.708134169,14.39126026,14.343756261,14.051792076,13.73399575,13.509459514,12.4,12.5,12.4,8.8904067401,8.9491263589,8.6867691162,8.4649515651,9.093914276,9.0274574486,9.3083329109,8.4278868167,8.3216274413,11,10.2,9.4,5.4947568067,5.40930335,5.7044589058,6.2431826042,5.2973459839,5.3162988123,4.743459165,5.3061089334,5.1878320726,1.4,2.3,3.1,1.5087711809,2.5405139562,0.1062127286,1.2604607303,1.8965226699,3.7647409644,4.3183106511,0.5857615414,0.4740957163,1.2,3.1,2,2.0417808867,3.9730983106,4.5206046726,0.4552320649,-1.44206182,1.4467228582,2.3170017928,0.7593205166,1.0933690682,6.8,9.3,5.3,3.5505520675,6.5136122669,4.6268174012,1.7156927952,0.4544608503,5.2114638226,6.6353124438,1.345082058,1.5674647845,8,12.4,7.2
"44","Tennessee",6346105,6346276,6910840,6910786,6355311,6399291,6453898,6494340,6541223,6591170,6646010,6708799,6771631,6829174,6926091,6963709,7048976,7126489,9035,43980,54607,40442,46883,49947,54840,62789,62832,57543,15305,37618,85267,77513,19678,78632,80318,80277,80458,81877,81248,80601,80946,80239,19250,79463,82053,82244,14302,60180,60650,63478,63582,66105,66653,69124,68970,67977,18931,89405,91616,81216,5376,18452,19668,16799,16876,15772,14595,11477,11976,12262,319,-9942,-9563,1028,982,8537,7785,9782,7409,9924,7236,8632,9506,9293,208,3114,7993,13054,2848,16968,26761,13438,22248,24156,32954,42619,41341,36009,14621,45241,83818,63417,3830,25505,34546,23220,29657,34080,40190,51251,50847,45302,14829,48355,91811,76471,-171,23,393,423,350,95,55,61,9,-21,157,-795,3019,14,153628,156477,153624,155039,156347,155084,154315,154938,155829,159282,160609,158077,156412,135988,145366,148006,12.329980975,12.497754448,12.3996794,12.344384358,12.469471482,12.275726401,12.070708012,12.009409195,11.799154535,11.4,11.7,11.6,9.4365939447,9.4373466383,9.8048861938,9.7551597886,10.06747209,10.070573944,10.351926411,10.232611274,9.9960259705,12.9,13.1,11.5,2.89338703,3.0604078101,2.5947932066,2.5892245697,2.4019993919,2.2051524569,1.7187816014,1.7767979211,1.8031285648,-1.4,-1.4,0.1,1.3386540795,1.211372524,1.5109391718,1.13673648,1.5113772486,1.0932842191,1.2927178517,1.4103407681,1.3665367601,0.4,1.1,1.8,2.6606867074,4.1641027764,2.0756492119,3.4134313953,3.6788420816,4.9790061025,6.3825697545,6.1334838725,5.2951277516,6.5,12,8.9,3.999340787,5.3754753003,3.5865883837,4.5501678754,5.1902193302,6.0722903217,7.6752876061,7.5438246406,6.6616645118,7,13.1,10.8
"45","Texas",25145561,25146091,29145505,29145459,25241971,25645629,26084481,26480266,26964333,27470056,27914410,28295273,28628666,28995881,29234361,29561286,30029848,30503301,95880,403658,438852,395785,484067,505723,444354,380863,333393,367215,88902,326925,468562,473453,92768,381723,378089,384445,394346,402264,400965,391340,379544,378664,88268,364918,384024,390494,41027,168140,169177,178624,180737,187837,188794,194141,201799,202786,55732,270419,261745,232241,51741,213583,208912,205821,213609,214427,212171,197199,177745,175878,32536,94499,122279,158253,14860,69059,84959,79798,107045,117660,110866,98188,71278,65044,1957,43475,117197,128534,28097,120672,141740,107657,160260,172048,120910,84790,83795,125660,52914,191643,224896,186767,42957,189731,226699,187455,267305,289708,231776,182978,155073,190704,54871,235118,342093,315301,1182,344,3241,2509,3153,1588,407,686,575,633,1495,-2692,4190,-101,581678,606011,582311,586693,593131,591252,599959,599954,595860,600370,600842,600693,606181,608077,604736,605204,15.002593952,14.617753568,14.627484082,14.757188093,14.779774602,14.479330721,13.9242913,13.335127775,13.142454725,12.4,12.9,12.9,6.6082896423,6.540755471,6.7963420427,6.7635272182,6.9014093278,6.8175794996,6.9077422123,7.090127758,7.0381811418,9.2,8.8,7.7,8.3943043099,8.0769980965,7.831142039,7.9936608749,7.8783652738,7.661751221,7.0165490882,6.2450000166,6.1042735833,3.2,4.1,5.2,2.7141779137,3.2847020816,3.0361793618,4.0058304114,4.3230025049,4.0035052428,3.4936329387,2.5043242352,2.2575101545,1.5,3.9,4.2,4.7426878061,5.4799806148,4.096167342,5.9972383739,6.3212981044,4.3662062211,3.0169179214,2.9441040614,4.3613358036,6.5,7.5,6.2,7.4568657197,8.7646826964,7.1323467038,10.003068785,10.644300609,8.3697114639,6.5105508601,5.4484282966,6.6188459581,8,11.5,10.4
"46","Utah",2763885,2763891,3271616,3271614,2775332,2814384,2853375,2897640,2936879,2981835,3041868,3101042,3153550,3205958,3283982,3339284,3381236,3417734,11441,39052,38991,44265,39239,44956,60033,59174,52508,52408,12368,55302,41952,36498,13756,51932,50446,51854,50825,51013,50622,49761,48349,48642,11862,45703,46371,45965,3678,15008,15471,16264,16284,17269,17786,17861,17695,17443,4964,21993,23370,21169,10078,36924,34975,35590,34541,33744,32836,31900,30654,31199,6898,23710,23001,24796,930,2557,4891,3184,5166,3810,7304,8898,5758,5579,120,2054,5462,10285,488,-387,-777,5596,-255,7609,19852,18329,16083,15588,4636,29664,13803,1338,1418,2170,4114,8780,4911,11419,27156,27227,21841,21167,4756,31718,19265,11623,-55,-42,-98,-105,-213,-207,41,47,13,42,714,-126,-314,79,46152,55459,46292,47144,46572,47148,45811,45303,46029,48090,48069,48364,55431,50973,53718,55398,18.581266025,17.801039176,18.032990698,17.422173105,17.237866199,16.80760157,16.201116409,15.460320993,15.2974098,13.8,13.8,13.5,5.3698613668,5.4593005807,5.6560450633,5.5819511428,5.8353892416,5.9053376304,5.8151592649,5.6582427759,5.485644487,6.6,7,6.2,13.211404658,12.341738595,12.376945635,11.840221962,11.402476957,10.90226394,10.385957144,9.8020782171,9.8117653127,7.2,6.8,7.3,0.914894424,1.725902601,1.1072828014,1.7708400641,1.2874418328,2.425086363,2.8969983282,1.8412072282,1.7545382442,0.6,1.6,3,-0.138468573,-0.274182441,1.9460912552,-0.087410805,2.5711666419,6.5912944247,5.9675300468,5.1427814956,4.9022660244,9,4.1,0.4,0.7764258506,1.4517201596,3.0533740566,1.6834292595,3.8586084747,9.0163807877,8.864528375,6.9839887238,6.6568042685,9.6,5.7,3.4
"47","Vermont",625741,625737,643077,643077,625879,627049,626090,626210,625214,625216,623657,624344,624358,623989,642936,647093,647110,647464,142,1170,-959,120,-996,2,-1559,687,14,-369,-141,4157,17,354,1656,6055,6086,5980,6118,5972,5832,5775,5537,5581,1303,5153,5385,5072,1326,5436,5459,5561,5601,5912,5811,6021,5778,5634,1565,6447,7216,6876,330,619,627,419,517,60,21,-246,-241,-53,-262,-1294,-1831,-1804,87,1156,212,316,286,2144,646,1817,454,383,21,415,1009,1312,-212,-594,-1756,-537,-1719,-2162,-2212,-854,-179,-682,-66,4842,1126,844,-125,562,-1544,-221,-1433,-18,-1566,963,275,-299,-45,5257,2135,2156,-63,-11,-42,-78,-80,-40,-14,-30,-20,-17,166,194,-287,2,25329,24888,25331,25333,25326,25440,25409,25374,25206,25198,25592,25701,24880,24875,24940,24942,9.6653598611,9.7132081916,9.5504272139,9.7776612883,9.5519141415,9.3396206019,9.2548002766,8.8684089559,8.9414241393,8,8.3,7.8,8.6772743526,8.712521117,8.8812584844,8.9514025622,9.4559471542,9.3059902808,9.6490307299,9.2544097791,9.0263364273,10,11.2,10.6,0.9880855085,1.0006870746,0.6691687295,0.8262587261,0.0959669874,0.0336303211,-0.394230453,-0.386000823,-0.084912288,-2,-2.8,-2.8,1.8452776217,0.3383503346,0.5046714046,0.4570792953,3.4292203482,1.0345327347,2.9118566411,0.7271550778,0.6136114398,0.6,1.6,2,-0.948178986,-2.802562206,-0.857621976,-2.74727031,-3.458010444,-3.542393822,-1.368588647,-0.286697707,-1.092644914,7.5,1.7,1.3,0.8970986362,-2.464211871,-0.352950571,-2.290191014,-0.028790096,-2.507861088,1.5432679942,0.4404573709,-0.479033474,8.2,3.3,3.3
"48","Virginia",8001024,8001049,8631393,8631373,8023699,8101155,8185080,8252427,8310993,8361808,8410106,8463587,8501286,8535519,8637193,8657348,8679099,8715698,22650,77456,83925,67347,58566,50815,48298,53481,37699,34233,5820,20155,21751,36599,25705,102349,102760,102510,102580,103234,102910,101430,99818,98403,23580,94275,96018,95669,14653,60458,60211,63454,62609,65247,65329,67950,68737,69729,19723,83763,86329,79980,11052,41891,42549,39056,39971,37987,37581,33480,31081,28674,3857,10512,9689,15689,5713,22423,36694,25291,34274,38051,35662,32574,15990,14869,764,14296,37444,28117,5551,13026,4466,3113,-15987,-25367,-24979,-12473,-9317,-9136,-31,-5468,-24930,-6985,11264,35449,41160,28404,18287,12684,10683,20101,6673,5733,733,8828,12514,21132,334,116,216,-113,308,144,34,-100,-55,-174,1230,815,-452,-222,239836,236654,240521,241332,241351,241601,245098,244955,243158,243304,244850,244897,236622,235919,235960,235956,12.694564552,12.619245639,12.472694308,12.386330842,12.383522121,12.271706139,12.02226448,11.76760946,11.551813852,10.9,11.1,11,7.4987345622,7.3940969168,7.7206354954,7.5599121437,7.826759283,7.7902855929,8.0539571272,8.1034499934,8.1856897464,9.7,10,9.2,5.1958299902,5.2251487222,4.7520588128,4.8264186986,4.5567628379,4.4814205463,3.9683073528,3.6641594664,3.366124106,1.2,1.1,1.8,2.7811724683,4.506136624,3.0772306287,4.1385172869,4.5644400122,4.2525856023,3.8609212577,1.8850715829,1.7455150775,1.7,4.3,3.2,1.6156425354,0.5484386047,0.3787678995,-1.930398432,-3.042920023,-2.978670174,-1.478395986,-1.098387238,-1.072501564,-0.6,-2.9,-0.8,4.3968150037,5.0545752287,3.4559985282,2.2081188547,1.5215199894,1.2739154279,2.3825252717,0.7866843448,0.673013514,1,1.4,2.4
"49","Washington",6724540,6724540,7705281,7705267,6742830,6826627,6897058,6963985,7054655,7163657,7294771,7423362,7523869,7614893,7724566,7741433,7784477,7812880,18290,83797,70431,66927,90670,109002,131114,128591,100507,91024,19299,16867,43044,28403,22246,86686,86714,87241,87387,88772,89751,89724,87338,87950,21105,82602,83874,82523,11850,49814,49426,51309,51278,53852,54708,56062,57709,58587,15173,64924,70848,67663,10396,36872,37288,35932,36109,34920,35043,33662,29629,29363,5932,17678,13026,14860,5863,19442,21495,18984,30216,32397,28294,30369,23609,24103,673,13996,37322,28919,2318,27417,11981,12018,24456,41599,67523,64310,47153,37476,11889,-15418,-4692,-15276,8181,46859,33476,31002,54672,73996,95817,94679,70762,61579,12562,-1422,32630,13643,-287,66,-333,-7,-111,86,254,250,116,82,805,611,-2612,-100,139375,160193,139352,145239,145966,144317,145105,144237,146127,145719,146332,147820,160185,140345,153013,153031,12.776635056,12.637130625,12.587941614,12.46725788,12.486995643,12.415042631,12.192307272,11.686177861,11.619179957,10.7,10.8,10.6,7.3420771369,7.2030216374,7.4033389839,7.3156882551,7.5750201571,7.567627684,7.6180857993,7.7216977512,7.7399988189,8.4,9.1,8.7,5.4345579193,5.4341089875,5.1846026306,5.1515696244,4.9119754863,4.8474149472,4.5742214722,3.9644801101,3.8791811378,2.3,1.7,1.9,2.8655531316,3.1325405676,2.7391878086,4.3108318639,4.5570810375,3.9138418091,4.1267462388,3.1589797468,3.1842762308,1.8,4.8,3.7,4.0409870491,1.7460324978,1.7340686412,3.4890688398,5.851468163,9.3402961926,8.7388801283,6.3092622306,4.9509992957,-2,-0.6,-2,6.9065401806,4.8785730655,4.4732564497,7.7999007036,10.4085492,13.254138002,12.865626367,9.4682419774,8.1352755265,-0.2,4.2,1.7
"50","West Virginia",1852994,1853018,1793716,1793713,1854239,1856301,1856872,1853914,1849489,1842050,1831023,1817004,1804291,1792147,1791562,1785249,1774035,1770071,1221,2062,571,-2958,-4425,-7439,-11027,-14019,-12713,-12144,-2151,-6313,-11214,-3964,5100,20465,20667,20923,20574,20083,19411,18870,18251,17888,4296,17056,17100,17263,5228,21901,21494,22248,21655,22759,22459,23142,22822,22567,5871,27613,30006,25929,-128,-1436,-827,-1325,-1081,-2676,-3048,-4272,-4571,-4679,-1575,-10557,-12906,-8666,81,1857,882,625,992,1271,1099,400,-132,-349,36,727,1792,1101,1323,1670,656,-2157,-4288,-5981,-9053,-10134,-7987,-7073,-813,2878,414,3595,1404,3527,1538,-1532,-3296,-4710,-7954,-9734,-8119,-7422,-777,3605,2206,4696,-55,-29,-140,-101,-48,-53,-25,-13,-23,-43,201,639,-514,6,49406,52037,49404,49449,49736,49528,48720,48080,47460,47866,46905,46910,52000,51955,52060,52052,11.030739461,11.131719422,11.27685617,11.110862091,10.880556863,10.569351603,10.345318168,10.079819512,9.9476203955,9.5,9.6,9.7,11.804750791,11.577160558,11.990990588,11.694649489,12.330358693,12.228997355,12.687406097,12.604330771,12.549639393,15.4,16.9,14.6,-0.77401133,-0.445441136,-0.714134418,-0.583787398,-1.449801831,-1.659645752,-2.342087929,-2.524511259,-2.602018998,-5.9,-7.3,-4.9,1.0009324788,0.4750653956,0.3368558575,0.5357234954,0.6886016916,0.5984090161,0.2192966225,-0.072902097,-0.194080921,0.4,1,0.6,0.9001385243,0.3533366207,-1.162556935,-2.315708012,-3.240382941,-4.929387464,-5.555879932,-4.411129168,-3.933336262,1.6,0.2,2,1.9010710031,0.8284020163,-0.825701078,-1.779984517,-2.551781249,-4.330978448,-5.336583309,-4.484031265,-4.127417183,2,1.2,2.7
"51","Wisconsin",5686986,5687285,5893718,5893713,5690475,5705288,5719960,5736754,5751525,5760940,5772628,5790186,5807406,5822434,5896700,5879978,5890543,5910955,3190,14813,14672,16794,14771,9415,11688,17558,17220,15028,2987,-16722,10565,20412,17554,67797,67659,66892,67061,67156,66803,65943,64194,63712,15554,60034,60702,59839,11770,48474,47862,50037,49334,51244,51341,52403,51254,50393,14171,61983,63601,58692,5784,19323,19797,16855,17727,15912,15462,13540,12940,13319,1383,-1949,-2899,1147,1151,3948,5692,7838,7604,8931,7770,7680,5296,3341,215,3189,7906,13653,-3437,-8377,-10462,-7458,-10025,-15083,-11395,-3460,-871,-1438,13,-19290,7392,5648,-2286,-4429,-4770,380,-2421,-6152,-3625,4220,4425,1903,228,-16101,15298,19301,-308,-81,-355,-441,-535,-345,-149,-202,-145,-194,1376,1328,-1834,-36,150520,151269,150528,149298,149398,148822,149009,148184,146230,144952,144666,143849,151195,125797,137002,137061,11.898632852,11.843769168,11.67734483,11.674681647,11.666658704,11.584099561,11.406047006,11.070229061,10.956642568,10.2,10.3,10.1,8.5073724331,8.3782864057,8.7349653662,8.5885797168,8.902350626,8.9028824385,9.0640565523,8.8387313504,8.6661553383,10.5,10.8,9.9,3.3912604185,3.4654827624,2.9423794641,3.0861019305,2.7643080782,2.6812171221,2.3419904532,2.2314977109,2.2904872294,-0.3,-0.5,0.2,0.6928891027,0.9963897501,1.3682806431,1.3237840063,1.5515356616,1.3473714292,1.3283963575,0.9132930353,0.5745564857,0.5,1.3,2.3,-1.470195545,-1.831382566,-1.301943995,-1.745257057,-2.620290268,-1.975971356,-0.598470234,-0.150203594,-0.24729489,-3.3,1.3,1,-0.777306443,-0.834992816,0.0663366477,-0.421473051,-1.068754606,-0.628599927,0.7299261235,0.7630894413,0.327261596,-2.7,2.6,3.3
"52","Wyoming",563626,563775,576851,576850,564487,567299,576305,582122,582531,585613,584215,578931,577601,578759,577664,579548,581629,584057,712,2812,9006,5817,409,3082,-1398,-5284,-1330,1158,814,1884,2081,2428,1994,7470,7436,7511,7714,7798,7581,7179,6714,6601,1584,6164,6046,5882,1289,4444,4381,4614,4527,4824,4790,4754,4732,4971,1290,6176,6754,5779,705,3026,3055,2897,3187,2974,2791,2425,1982,1630,294,-12,-708,103,171,-242,455,468,-262,720,402,605,516,538,18,134,364,322,-227,27,5274,2349,-2543,-599,-4603,-8353,-3827,-1012,436,1764,2475,2016,-56,-215,5729,2817,-2805,121,-4201,-7748,-3311,-474,454,1898,2839,2338,63,1,222,103,27,-13,12,39,-1,2,66,-2,-50,-13,13855,13290,13936,13993,14174,14256,14149,14309,14115,14384,14240,14240,13285,13476,13908,13910,13.200375336,13.004501558,12.967584492,13.246864087,13.351093701,12.960879719,12.344108134,11.610573681,11.416859801,10.7,10.4,10.1,7.8530746979,7.6617430509,7.96597455,7.7739893342,8.2592557082,8.189238076,8.1743822358,8.1830852929,8.5976685461,10.7,11.6,9.9,5.3473006381,5.3427585073,5.0016099418,5.4728747533,5.0918379926,4.771641643,4.1697258986,3.4274883877,2.8191912553,0,-1.2,0.2,-0.427642682,0.7957299905,0.807992217,-0.449919418,1.2327247326,0.6872805233,1.0402821314,0.8923229102,0.9305060708,0.2,0.6,0.6,0.0477122,9.2234724607,4.055499397,-4.366965955,-1.025558493,-7.869532957,-14.36277131,-6.618061584,-1.75031997,3,4.3,3.5,-0.379930482,10.019202451,4.8634916141,-4.816885373,0.2071662398,-7.182252434,-13.32248918,-5.725738674,-0.819813899,3.3,4.9,4
